Sample in Buffer,Sample in Window,TRIGGER,slc3/cpu/cpu_control/state[4:0],run_i_IBUF
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,"s_32",1
1,1,0,"s_0",1
2,2,0,"s_18",1
3,3,0,"s_33_1",1
4,4,0,"s_33_2",1
5,5,0,"s_33_3",1
6,6,0,"s_35",1
7,7,0,"s_32",1
8,8,0,"s_0",1
9,9,0,"s_18",1
10,10,0,"s_33_1",1
11,11,0,"s_33_2",1
12,12,0,"s_33_3",1
13,13,0,"s_35",1
14,14,0,"s_32",1
15,15,0,"s_0",1
16,16,0,"s_18",1
17,17,0,"s_33_1",1
18,18,0,"s_33_2",1
19,19,0,"s_33_3",1
20,20,0,"s_35",1
21,21,0,"s_32",1
22,22,0,"s_0",1
23,23,0,"s_18",1
24,24,0,"s_33_1",1
25,25,0,"s_33_2",1
26,26,0,"s_33_3",1
27,27,0,"s_35",1
28,28,0,"s_32",1
29,29,0,"s_0",1
30,30,0,"s_18",1
31,31,0,"s_33_1",1
32,32,0,"s_33_2",1
33,33,0,"s_33_3",1
34,34,0,"s_35",1
35,35,0,"s_32",1
36,36,0,"s_0",1
37,37,0,"s_18",1
38,38,0,"s_33_1",1
39,39,0,"s_33_2",1
40,40,0,"s_33_3",1
41,41,0,"s_35",1
42,42,0,"s_32",1
43,43,0,"s_0",1
44,44,0,"s_18",1
45,45,0,"s_33_1",1
46,46,0,"s_33_2",1
47,47,0,"s_33_3",1
48,48,0,"s_35",1
49,49,0,"s_32",1
50,50,0,"s_0",1
51,51,0,"s_18",1
52,52,0,"s_33_1",1
53,53,0,"s_33_2",1
54,54,0,"s_33_3",1
55,55,0,"s_35",1
56,56,0,"s_32",1
57,57,0,"s_0",1
58,58,0,"s_18",1
59,59,0,"s_33_1",1
60,60,0,"s_33_2",1
61,61,0,"s_33_3",1
62,62,0,"s_35",1
63,63,0,"s_32",1
64,64,0,"s_0",1
65,65,0,"s_18",1
66,66,0,"s_33_1",1
67,67,0,"s_33_2",1
68,68,0,"s_33_3",1
69,69,0,"s_35",1
70,70,0,"s_32",1
71,71,0,"s_0",1
72,72,0,"s_18",1
73,73,0,"s_33_1",1
74,74,0,"s_33_2",1
75,75,0,"s_33_3",1
76,76,0,"s_35",1
77,77,0,"s_32",1
78,78,0,"s_0",1
79,79,0,"s_18",1
80,80,0,"s_33_1",1
81,81,0,"s_33_2",1
82,82,0,"s_33_3",1
83,83,0,"s_35",1
84,84,0,"s_32",1
85,85,0,"s_0",1
86,86,0,"s_18",1
87,87,0,"s_33_1",1
88,88,0,"s_33_2",1
89,89,0,"s_33_3",1
90,90,0,"s_35",1
91,91,0,"s_32",1
92,92,0,"s_0",1
93,93,0,"s_18",1
94,94,0,"s_33_1",1
95,95,0,"s_33_2",1
96,96,0,"s_33_3",1
97,97,0,"s_35",1
98,98,0,"s_32",1
99,99,0,"s_0",1
100,100,0,"s_18",1
101,101,0,"s_33_1",1
102,102,0,"s_33_2",1
103,103,0,"s_33_3",1
104,104,0,"s_35",1
105,105,0,"s_32",1
106,106,0,"s_0",1
107,107,0,"s_18",1
108,108,0,"s_33_1",1
109,109,0,"s_33_2",1
110,110,0,"s_33_3",1
111,111,0,"s_35",1
112,112,0,"s_32",1
113,113,0,"s_0",1
114,114,0,"s_18",1
115,115,0,"s_33_1",1
116,116,0,"s_33_2",1
117,117,0,"s_33_3",1
118,118,0,"s_35",1
119,119,0,"s_32",1
120,120,0,"s_0",1
121,121,0,"s_18",1
122,122,0,"s_33_1",1
123,123,0,"s_33_2",1
124,124,0,"s_33_3",1
125,125,0,"s_35",1
126,126,0,"s_32",1
127,127,0,"s_0",1
128,128,0,"s_18",1
129,129,0,"s_33_1",1
130,130,0,"s_33_2",1
131,131,0,"s_33_3",1
132,132,0,"s_35",1
133,133,0,"s_32",1
134,134,0,"s_0",1
135,135,0,"s_18",1
136,136,0,"s_33_1",1
137,137,0,"s_33_2",1
138,138,0,"s_33_3",1
139,139,0,"s_35",1
140,140,0,"s_32",1
141,141,0,"s_0",1
142,142,0,"s_18",1
143,143,0,"s_33_1",1
144,144,0,"s_33_2",1
145,145,0,"s_33_3",1
146,146,0,"s_35",1
147,147,0,"s_32",1
148,148,0,"s_0",1
149,149,0,"s_18",1
150,150,0,"s_33_1",1
151,151,0,"s_33_2",1
152,152,0,"s_33_3",1
153,153,0,"s_35",1
